Sigla;Código;Estado;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
AC;12;Acre;;;;;;;;;;;;;;;;;;3010,6410134713;5494,390161692;5254,2876988636;4001,9077305166;10255,7608252279;27731,3708043328;28187,0297757813;19731,3167881954;12905,23918465;12383,2702925578;8364,1388235134;-559,5892768809;2808,6943914145;2422,3295413919;1461,4148869849;977,7406564434;2656,2156162222;2364,955872924;1116,0242759102;1061,21095469755;-38,1900580831739;
AL;27;Alagoas;;;;;;;;;;;;;;;;;;304933,388725054;333776,332987156;377378,241499272;500421,423492461;634340,777249629;1068448,8310551;751874,322237954;404038,017708429;421582,32397274;531169,222953475;606473,438993829;579093,817132377;283134,851674151;186348,944367186;67548,6029938813;87996,9329301169;118036,469824274;132237,662354064;89928,1689211536;173514,194087724;298761,282478108;
AM;13;Amazonas;1692625,07811989;900169,079391474;1346066,78902212;1524672,49752768;1459649,18502107;341247,673527044;430249,01302782;302672,966281744;342999,261163456;95536,3665274199;64101,1851477038;61191,1311589501;56102,3415758369;386246,494571789;798035,509926798;1919471,78212256;2000141,83912301;1152467,39850056;1265349,48868646;1441981,41835468;1682430,82257908;1871174,59647042;1541266,61030292;1802551,78468076;978739,147732942;1221321,81098582;2280488,51583353;2792711,19274095;2737285,29912626;1515981,21670733;1023932,86403073;208885,121877403;274055,002491868;810038,617004796;913379,255244683;624834,523828441;1194326,8394819;1579985,66710318;
AP;16;Amapá;353122,910058793;282421,648829941;166320,884052502;124221,593767332;109571,191443065;104259,860032705;91878,3457566574;106662,76699473;132370,60488222;126138,473284549;102414,871534378;100307,419747316;110547,954752379;16750,8369103214;134635,821639016;154817,439939839;157340,857323059;59690,8661896918;86591,3085023706;21683,7893574554;35944,9501608914;31242,0473828647;110305,478582215;70548,4061457719;15495,0160600703;98111,80747998;190339,699719812;129418,715486058;171193,357761927;52271,0467769009;15501,6226384453;20575,630812158;18158,2071592128;12156,6847028379;1476,6784542891;5559,9050810839;2866,50632617817;-5353,08521148605;
BA;29;Bahia;6272900,60214583;4738824,67584331;3453641,60350669;3158527,95054939;2556413,6006847;2166578,12247534;2376780,54701128;2449665,78769684;2828392,10522595;2357919,36820532;1630684,31012856;1371702,96346941;1313399,90752697;1232214,68916353;1335707,13649766;1424524,29293289;2883358,0634714;2118783,25254439;2311223,54890414;3009846,5506182;3176240,05403759;3664422,8590739;3703542,92513659;4477557,40374342;2341151,53014413;3727447,94801744;4029102,29371879;5291923,45676205;4375404,1967702;2716285,96524515;1747507,16148238;805468,142031164;1264546,90614502;1925598,53891646;1714819,22941723;1529597,65061782;2687409,14308756;2791968,09279781;
CE;23;Ceará;1996198,90919238;1416247,33119598;852025,998448137;736230,50731501;602180,196056037;551911,635282059;659945,834678811;696916,205495422;694182,688340162;565032,474974963;375507,58199407;341772,983235846;363716,873802733;353328,782753317;409886,489134844;570145,70537168;613136,457201345;387986,908160955;415366,301828593;426128,546384205;482564,505431297;522074,937559716;437749,303904278;480187,133538595;336681,248627905;352720,80144146;386871,966323534;415555,266180552;488140,113929622;436237,314030804;232252,168928526;123258,526268341;221209,665300376;246725,981713629;238542,23731538;152650,940677484;256832,783610588;144535,557629205;
DF;53;Distrito Federal;24793,5194623453;20648,0837584619;16225,4505626425;15160,9422272889;11954,6439495544;11388,6785088856;12276,0744632031;11668,0356473677;13300,9355537915;11791,6964193201;8916,9840224166;8857,8798968393;10165,2806281714;11722,1566748719;14003,695107686;17697,8021318874;15674,6926349486;10984,1692381772;87351,3404922123;97903,2407823881;114836,527397267;7432,7766860902;11859,74275672;21826,1130271847;29169,4622269912;34645,09823156;22214,3099706103;20171,0797302402;21099,5755379514;16085,9400007792;9967,5824360592;15251,7416766074;5428,9108242751;12255,054223896;13454,7122035858;5305,3294306175;16075,9026536373;16127,8891612584;
ES;32;Espírito Santo;1260942,53718013;993316,020092898;725629,865109265;647583,837557795;493852,770829157;418511,918901639;506069,458145844;451898,598958251;517601,393581425;458729,602590802;334581,169107474;320250,031799564;332429,985110206;377842,98539113;439341,225533775;534800,391292872;576976,481745843;3024686,5125511;3184125,44065228;4375556,05992344;6267613,09195142;7292401,03378427;8639606,17591194;11773762,6946333;5956079,83442203;12976118,1920369;20720312,5092897;21721955,1794665;18818874,3815122;18847069,4307652;8950846,49376591;2835414,11162291;3536556,93724972;10126244,0029341;6380634,21080829;5940157,55121427;13546825,8542167;7675185,95829739;
GO;52;Goiás;460273,480362539;321001,453476239;115440,55635888;34478,016054183;37886,5065037751;49950,7433716999;90726,1203506679;123394,351262986;199133,737823344;201834,445547332;100433,699290662;84165,4680021836;106175,122496584;84887,4059141716;143305,408410617;156790,578759674;127571,080902193;685443,016035073;591446,267080654;738372,924666621;612247,353817879;543294,304369662;1441999,06038001;911803,386889805;1133981,61969362;989323,24250667;1377912,45928173;1334848,06430297;944414,326163478;706715,614365488;717953,558057909;434859,549745966;616315,422743828;777502,042397522;727030,853332404;656810,487374384;977227,822126828;449372,594148669;
MA;21;Maranhão;;;;;;;;;;;;;;;;;;60571,1307435682;300012,609444001;495757,36207452;529298,103422778;490011,442904824;384096,690449174;928987,583820922;692545,365225488;817347,147314;1053662,39641712;830666,236445614;1049767,99271439;381668,526053234;377556,647510126;113993,972557345;127837,264720905;325059,426344124;706168,1145745;1162960,02614016;1664999,24485926;618474,149057079;
MG;31;Minas Gerais;7996543,18228883;6693517,85947042;4992418,24368338;5727576,89577639;6657041,44611987;2476443,96077314;4508034,65515554;4374241,02473611;6789046,38319772;5448176,63356238;3507825,59196476;3201561,56932812;3426295,50943682;3031123,72466739;3014264,5308178;4149194,48786049;3606426,71432242;3882652,97199182;4762894,15110198;6533859,01051543;6740785,84404643;5502965,16975641;4854775,65946203;8816442,73939247;5047917,83300374;17259251,5230482;24074477,3613521;23106363,3218365;25504599,6435509;20511069,7644646;11381421,7646616;8812846,0186989;13192223,8236071;15897554,2722253;14523117,8757746;15681448,1105589;39609478,5605208;16265727,7377082;
MS;50;Mato Grosso do Sul;66437,1233928367;61005,333375099;45548,9686603148;42880,0138136006;39546,5203015345;43480,2036821036;30530,9656387638;31555,0795613991;34406,7161421716;66590,1276397882;52665,7482608972;47536,7830894914;60081,25178575;63478,8435428181;58035,3448488239;66107,627485782;60685,4386383706;95337,8300442251;83433,9057638423;45360,2892243339;102518,606468941;143575,739098313;90048,5973285445;318662,282215546;107934,765966987;419993,50609677;387540,959270069;515564,633612841;493683,243234269;618068,472446169;303582,49962483;117674,555067827;249491,701003244;237030,706412525;168154,318348698;76315,9050617486;400748,611433212;264485,79124086;
MT;51;Mato Grosso;225888,142030372;226072,39533938;84877,5906269094;64690,1350710889;95310,159779882;109192,539785064;110531,871291453;107715,582590509;152384,60856853;107449,100877661;360441,485882298;432615,13316776;417098,731666216;421890,395169104;469104,457188506;532838,833037292;379055,038144048;111574,155346939;148305,711159854;227431,498665105;135425,551459489;158821,755188198;111640,211529418;128876,454983881;127113,164034831;141728,51897934;228187,141431141;199871,398323376;171111,91628573;262846,159850738;241062,551651291;217705,141186774;195024,073826872;261276,085964152;289562,187970705;373959,474854852;562645,347727616;313196,871117208;
PA;15;Pará;1278843,95970501;1426428,65514848;1376888,92763455;1523675,47815566;1470534,81875536;1044776,51938984;1426856,7190439;1596469,97914222;2158530,13129987;1710936,80810727;1228489,89318546;1126266,0100421;1199662,22854741;1211992,79991567;1261692,47507573;1653370,98654647;1716871,17007604;2285102,72045828;2332787,53396735;3318422,13998796;3384422,52995125;3050817,46687157;2745243,37386285;7491281,94812682;4436971,92812055;15166550,4875113;19617260,3216344;15563396,0652796;15781542,9211291;10635212,7094578;7480468,20452954;7681697,0485501;12457974,3582677;11620155,0915948;17942864,1348668;30580909,3843152;38757964,8021403;15153716,6506385;
PB;25;Paraíba;;;;;;;;;;;;;;;;;;102093,541773802;104522,931713594;116110,590385349;96529,6625388754;113745,222910424;111388,316739572;95579,6808655296;37976,6565622654;136059,67353476;155131,540749912;173260,206467969;150792,309948769;147616,183826408;132002,374450259;141738,67571529;59865,5457527814;94786,3231573282;65808,9441513317;63102,3820399909;67182,3168904889;44258,2248662412;
PE;26;Pernambuco;26651,3991470467;55945,2289392665;109370,391870302;96344,2313783095;65597,5692404815;74512,986193922;149165,345337274;46097,609983021;71325,8894512273;43416,2294228653;55042,4249313135;69547,2342636018;73076,7359532187;59906,3519352551;72853,3553394874;82888,3891343979;79936,9553053918;40876,7820741997;16152,1238097729;30924,9931905229;11191,099422863;20659,7986713078;17567,5041054774;22224,3309570006;20750,6116515199;145184,05109524;129999,428558603;147034,00974516;135179,679996439;53421,6017373916;52380,860860464;65761,1557532304;101554,439990069;45152,8729267805;74761,5311715993;69010,9131542282;63553,2767551;71933,9181696599;
PI;22;Piauí;;;;;;;;;;;;;;;;;;61802,5198968044;42062,1968049087;36294,1294184263;39921,830037641;39710,2244365376;72234,7412758356;67673,2668980173;41877,7742963029;141346,11991961;137360,556073261;109721,602380641;57820,0697368056;52184,1757556505;27694,9274748802;24476,626687814;22740,9030006838;64244,1571077655;39593,3593138288;61888,2190964103;50965,7229911392;74131,2789954448;
PR;41;Paraná;119844,853738336;100724,152192518;82302,596881768;77920,4587341631;66838,8234946715;48551,1484381706;52410,0787233193;51037,6975766428;49423,5424516541;41480,8489603054;40103,3763626357;32009,49571388;32388,5577593831;22974,4072023448;22288,2080499984;34419,4880259592;19974,8295236424;324572,662437466;265286,412477211;410875,629549194;397601,119199762;359992,883537654;340476,642646936;314973,423082392;263618,091051752;267107,21969163;333106,355997082;371880,033514681;345367,597153752;362624,431513072;387220,346196977;332313,334656261;376780,473907895;273912,270291644;308560,359405444;351480,810493009;330972,299130836;186191,619485484;
RJ;33;Rio de Janeiro;31966755,535458;26408343,6841709;17741208,5699857;14280203,3881783;11392813,5615584;11643167,6659515;14454802,7552702;14384611,3544766;17230559,5907504;15272186,950489;11220664,934256;11375893,0393419;12984617,965485;8179930,34586325;27819106,6897645;53235075,8435827;56398362,9002663;29344517,3107587;32954341,1257951;35811987,3632362;52500909,0891713;65804663,1916676;55057827,233719;70298332,9109636;40871439,584219;48626638,9299313;64695155,9609508;75241057,5819939;66786423,8269652;64918122,5848269;33546979,1765176;9520351,86530855;17240429,3649605;41131561,1452636;48492456,7285352;37505723,5199458;87103189,9678359;140357536,951093;
RN;24;Rio Grande do Norte;3794549,26196256;3199834,83234857;2145049,11477001;1706032,08942136;1238988,1309662;1271887,89344564;1736125,27011225;1861390,78109718;2184571,08592488;1700679,84536415;1055006,98287932;1080913,21471402;1175625,20313948;458788,443705204;1862984,66078514;2880152,22993639;2782581,11371347;2493184,64128267;2211250,00382193;2606763,33632778;3353901,02777524;3371167,08508118;2976818,21214082;3393146,78206602;1806842,33343353;2427927,13060533;3042458,51921521;3358069,38102644;3076128,36379924;2685359,84260354;1447184,87936843;542638,085995191;626410,758825553;1024718,44771997;1059994,59999402;721353,576340803;1429880,08056972;1995587,43965599;
RO;11;Rondônia;456333,888533942;356072,333918903;236154,963509323;192983,139254987;129268,377513937;99930,6604940261;106997,207054687;148384,945583181;186783,653007625;117762,54328052;68588,2155799862;69871,6668742363;78356,9402734024;75165,2512623325;103535,179754183;111437,069101007;90302,1335708437;56213,3723794177;51797,5915768535;65358,192847867;34588,4938439791;74367,3505175421;52712,30043597;26290,4825957086;30538,0549914742;91814,59736745;186059,614539297;101994,258086017;83432,6866817499;61312,1264882318;63986,8086592651;20615,7413924379;63310,9967430526;65512,3664383578;40915,6992832994;139607,916128877;44153,2083949331;73051,8378393651;
