year,areakm,municipality,geocode_ibge,state
2000,0,Acrelândia,1200013,Acre
2001,0,Acrelândia,1200013,Acre
2002,0,Acrelândia,1200013,Acre
2003,0,Acrelândia,1200013,Acre
2004,0,Acrelândia,1200013,Acre
2005,0,Acrelândia,1200013,Acre
2006,0,Acrelândia,1200013,Acre
2007,0,Acrelândia,1200013,Acre
2008,0,Acrelândia,1200013,Acre
2009,0,Acrelândia,1200013,Acre
2010,0,Acrelândia,1200013,Acre
2011,0,Acrelândia,1200013,Acre
2012,0,Acrelândia,1200013,Acre
2013,0,Acrelândia,1200013,Acre
2014,0,Acrelândia,1200013,Acre
2015,0,Acrelândia,1200013,Acre
2016,0,Acrelândia,1200013,Acre
2017,0,Acrelândia,1200013,Acre
2018,0,Acrelândia,1200013,Acre
2019,0,Acrelândia,1200013,Acre
2020,0,Acrelândia,1200013,Acre
2021,0,Acrelândia,1200013,Acre
2022,0,Acrelândia,1200013,Acre
2023,0,Acrelândia,1200013,Acre
2000,0.040788106274386185,Assis Brasil,1200054,Acre
2001,0.016192805444956045,Assis Brasil,1200054,Acre
2002,0.016192805444956045,Assis Brasil,1200054,Acre
2003,0.05523491678482048,Assis Brasil,1200054,Acre
2004,0.05523491678482048,Assis Brasil,1200054,Acre
2005,0.012197954099940289,Assis Brasil,1200054,Acre
2006,0.012197954099940289,Assis Brasil,1200054,Acre
2007,0,Assis Brasil,1200054,Acre
2008,0,Assis Brasil,1200054,Acre
2009,0,Assis Brasil,1200054,Acre
2010,0,Assis Brasil,1200054,Acre
2011,0,Assis Brasil,1200054,Acre
2012,0,Assis Brasil,1200054,Acre
2013,0,Assis Brasil,1200054,Acre
2014,0,Assis Brasil,1200054,Acre
2015,0,Assis Brasil,1200054,Acre
2016,0,Assis Brasil,1200054,Acre
2017,0,Assis Brasil,1200054,Acre
2018,0,Assis Brasil,1200054,Acre
2019,0,Assis Brasil,1200054,Acre
2020,0.006151307449660737,Assis Brasil,1200054,Acre
2021,0.01058773777202498,Assis Brasil,1200054,Acre
2022,0,Assis Brasil,1200054,Acre
2023,0,Assis Brasil,1200054,Acre
2000,0,Brasiléia,1200104,Acre
2001,0.006336761714822669,Brasiléia,1200104,Acre
2002,0.006336761714822669,Brasiléia,1200104,Acre
2003,0,Brasiléia,1200104,Acre
2004,0,Brasiléia,1200104,Acre
2005,0,Brasiléia,1200104,Acre
2006,0,Brasiléia,1200104,Acre
2007,0,Brasiléia,1200104,Acre
