year,areakm,municipality,geocode_ibge,state
2007,1005.7092256458742,Acrelândia,1200013,Acre
2008,23.667086506330083,Acrelândia,1200013,Acre
2009,12.93823347084188,Acrelândia,1200013,Acre
2010,11.332077910930389,Acrelândia,1200013,Acre
2011,15.9386375659292,Acrelândia,1200013,Acre
2012,4.164717505272149,Acrelândia,1200013,Acre
2013,9.47555625108308,Acrelândia,1200013,Acre
2014,18.896772683227386,Acrelândia,1200013,Acre
2015,14.761802283201153,Acrelândia,1200013,Acre
2016,23.805690575007553,Acrelândia,1200013,Acre
2017,5.710904951294499,Acrelândia,1200013,Acre
2018,21.784422000655248,Acrelândia,1200013,Acre
2019,19.887947144833845,Acrelândia,1200013,Acre
2020,12.93755576047272,Acrelândia,1200013,Acre
2021,38.265312298948714,Acrelândia,1200013,Acre
2022,18.502625100248153,Acrelândia,1200013,Acre
2023,12.04604977052408,Acrelândia,1200013,Acre
2024,9.946522729839046,Acrelândia,1200013,Acre
2007,234.39802495085533,Assis Brasil,1200054,Acre
2008,3.419526434651008,Assis Brasil,1200054,Acre
2009,1.6006989968978549,Assis Brasil,1200054,Acre
2010,3.7737745178945006,Assis Brasil,1200054,Acre
2011,2.8193837967996505,Assis Brasil,1200054,Acre
2012,2.3987495682861697,Assis Brasil,1200054,Acre
2013,4.803777966241907,Assis Brasil,1200054,Acre
2014,7.67546822145793,Assis Brasil,1200054,Acre
2015,5.939278573372558,Assis Brasil,1200054,Acre
2016,2.8939497492596655,Assis Brasil,1200054,Acre
2017,6.391257481911599,Assis Brasil,1200054,Acre
2018,7.925865348224258,Assis Brasil,1200054,Acre
2019,21.143888827873262,Assis Brasil,1200054,Acre
2020,18.174809651320654,Assis Brasil,1200054,Acre
2021,17.64986377324601,Assis Brasil,1200054,Acre
2022,8.366870973826275,Assis Brasil,1200054,Acre
2023,7.381673911207423,Assis Brasil,1200054,Acre
2024,6.151406532917757,Assis Brasil,1200054,Acre
2007,1201.1294319303352,Brasiléia,1200104,Acre
2008,12.659784499705673,Brasiléia,1200104,Acre
2009,8.217565014533545,Brasiléia,1200104,Acre
2010,11.955010528845435,Brasiléia,1200104,Acre
2011,14.519025024866577,Brasiléia,1200104,Acre
2012,12.888066060989534,Brasiléia,1200104,Acre
2013,17.194258742482834,Brasiléia,1200104,Acre
2014,33.423979112510324,Brasiléia,1200104,Acre
2015,22.060364191252198,Brasiléia,1200104,Acre
2016,17.714445001640993,Brasiléia,1200104,Acre
2017,23.104993122565766,Brasiléia,1200104,Acre
2018,21.087136425462372,Brasiléia,1200104,Acre
2019,58.610657353155666,Brasiléia,1200104,Acre
2020,40.1210679533899,Brasiléia,1200104,Acre
2021,61.011094821717506,Brasiléia,1200104,Acre
2022,30.50048488450648,Brasiléia,1200104,Acre
2023,22.445672100535894,Brasiléia,1200104,Acre
2024,19.10948109126526,Brasiléia,1200104,Acre
2007,1116.9559363778212,Bujari,1200138,Acre
2008,15.772079950013074,Bujari,1200138,Acre
2009,7.621237020084382,Bujari,1200138,Acre
2010,8.260086475385204,Bujari,1200138,Acre
2011,9.566167963089006,Bujari,1200138,Acre
2012,10.106807410077668,Bujari,1200138,Acre
2013,8.374876485689102,Bujari,1200138,Acre
2014,8.985015685492554,Bujari,1200138,Acre
2015,9.35697341632589,Bujari,1200138,Acre
2016,17.287004592203967,Bujari,1200138,Acre
2017,7.629898078427354,Bujari,1200138,Acre
2018,13.712393188463933,Bujari,1200138,Acre
2019,26.054598331922794,Bujari,1200138,Acre
2020,17.651505984106795,Bujari,1200138,Acre
2021,25.80004562859253,Bujari,1200138,Acre
2022,37.21034201244905,Bujari,1200138,Acre
2023,15.990267940224845,Bujari,1200138,Acre
2024,18.791181238497153,Bujari,1200138,Acre
2007,803.5692165511617,Capixaba,1200179,Acre
2008,8.829852107369534,Capixaba,1200179,Acre
2009,3.787125956609666,Capixaba,1200179,Acre
2010,3.748554356943905,Capixaba,1200179,Acre
2011,9.45690423162478,Capixaba,1200179,Acre
2012,15.11240703599834,Capixaba,1200179,Acre
2013,5.7578575776262255,Capixaba,1200179,Acre
2014,9.618370413353666,Capixaba,1200179,Acre
2015,6.08518278666107,Capixaba,1200179,Acre
2016,16.64593326609688,Capixaba,1200179,Acre
2017,11.572004169704654,Capixaba,1200179,Acre
2018,10.264173247390598,Capixaba,1200179,Acre
2019,27.768298463176066,Capixaba,1200179,Acre
2020,18.80088769420414,Capixaba,1200179,Acre
2021,29.376706959011358,Capixaba,1200179,Acre
2022,31.977299715547137,Capixaba,1200179,Acre
2023,12.048030555030861,Capixaba,1200179,Acre
2024,6.727539717031943,Capixaba,1200179,Acre
2007,917.3839623104692,Cruzeiro do Sul,1200203,Acre
2008,11.024729988649408,Cruzeiro do Sul,1200203,Acre
2009,4.244619990437915,Cruzeiro do Sul,1200203,Acre
2010,22.184683673003544,Cruzeiro do Sul,1200203,Acre
2011,12.691133827584776,Cruzeiro do Sul,1200203,Acre
2012,9.458290393985074,Cruzeiro do Sul,1200203,Acre
2013,5.475049459782154,Cruzeiro do Sul,1200203,Acre
2014,10.64923113822027,Cruzeiro do Sul,1200203,Acre
2015,3.434413194535129,Cruzeiro do Sul,1200203,Acre
2016,9.26303526552899,Cruzeiro do Sul,1200203,Acre
2017,9.448194558253796,Cruzeiro do Sul,1200203,Acre
2018,18.062036827141622,Cruzeiro do Sul,1200203,Acre
2019,25.212203743313946,Cruzeiro do Sul,1200203,Acre
2020,42.46801077816329,Cruzeiro do Sul,1200203,Acre
2021,33.569091024250476,Cruzeiro do Sul,1200203,Acre
2022,54.70516999571812,Cruzeiro do Sul,1200203,Acre
2023,28.06251772278658,Cruzeiro do Sul,1200203,Acre
2024,14.888997338765257,Cruzeiro do Sul,1200203,Acre
2007,782.5608761292309,Epitaciolândia,1200252,Acre
2008,4.337023081847386,Epitaciolândia,1200252,Acre
2009,4.16547999637831,Epitaciolândia,1200252,Acre
2010,3.752059735834176,Epitaciolândia,1200252,Acre
2011,7.10639446481666,Epitaciolândia,1200252,Acre
2012,12.330479342467159,Epitaciolândia,1200252,Acre
2013,6.403896371147007,Epitaciolândia,1200252,Acre
2014,8.907226461668554,Epitaciolândia,1200252,Acre
2015,9.714432384847138,Epitaciolândia,1200252,Acre
2016,7.3066666162604355,Epitaciolândia,1200252,Acre
2017,5.546556043029596,Epitaciolândia,1200252,Acre
2018,7.987803144273741,Epitaciolândia,1200252,Acre
2019,11.374425276807534,Epitaciolândia,1200252,Acre
2020,8.447290106581226,Epitaciolândia,1200252,Acre
2021,18.64824403067629,Epitaciolândia,1200252,Acre
2022,10.734908757424558,Epitaciolândia,1200252,Acre
2023,9.014223360555674,Epitaciolândia,1200252,Acre
2024,5.746813998021089,Epitaciolândia,1200252,Acre
2007,1233.0649613083092,Feijó,1200302,Acre
2008,27.154492998394513,Feijó,1200302,Acre
2009,19.510951050461838,Feijó,1200302,Acre
2010,22.65003825010039,Feijó,1200302,Acre
2011,23.32094225106973,Feijó,1200302,Acre
2012,30.8444818107708,Feijó,1200302,Acre
2013,23.750586266604113,Feijó,1200302,Acre
2014,37.30634350604368,Feijó,1200302,Acre
2015,10.621369903561682,Feijó,1200302,Acre
2016,38.63043786059943,Feijó,1200302,Acre
2017,26.37136967843169,Feijó,1200302,Acre
2018,72.24470304252229,Feijó,1200302,Acre
2019,94.01746290854378,Feijó,1200302,Acre
2020,99.87712761795628,Feijó,1200302,Acre
2021,139.0140940720975,Feijó,1200302,Acre
2022,193.2206843703527,Feijó,1200302,Acre
2023,62.862810442707584,Feijó,1200302,Acre
2024,75.68581328042139,Feijó,1200302,Acre
2007,113.262959946942,Jordão,1200328,Acre
2008,7.231227456646886,Jordão,1200328,Acre
2009,1.888165129342122,Jordão,1200328,Acre
2010,6.802984353752853,Jordão,1200328,Acre
2011,5.984000731250667,Jordão,1200328,Acre
2012,7.029948727652446,Jordão,1200328,Acre
2013,2.218582230820658,Jordão,1200328,Acre
2014,6.906406579816296,Jordão,1200328,Acre
2015,0.927628652309474,Jordão,1200328,Acre
2016,2.1412350366492774,Jordão,1200328,Acre
2017,2.4862917659951704,Jordão,1200328,Acre
2018,6.273835565112647,Jordão,1200328,Acre
2019,11.04540318244387,Jordão,1200328,Acre
2020,11.651268174066255,Jordão,1200328,Acre
2021,9.743084412116504,Jordão,1200328,Acre
2022,15.351907747217334,Jordão,1200328,Acre
2023,4.953830322774918,Jordão,1200328,Acre
2024,7.252141798794325,Jordão,1200328,Acre
2007,246.94399571702152,Manoel Urbano,1200344,Acre
2008,4.9036317240865746,Manoel Urbano,1200344,Acre
2009,5.326229847734298,Manoel Urbano,1200344,Acre
2010,8.194996385489672,Manoel Urbano,1200344,Acre
2011,8.014796524737658,Manoel Urbano,1200344,Acre
2012,13.680466082014306,Manoel Urbano,1200344,Acre
2013,16.334963835220798,Manoel Urbano,1200344,Acre
2014,18.459666249016774,Manoel Urbano,1200344,Acre
2015,19.168399441632772,Manoel Urbano,1200344,Acre
2016,26.91693793973337,Manoel Urbano,1200344,Acre
2017,17.582904195233326,Manoel Urbano,1200344,Acre
2018,46.45558110241381,Manoel Urbano,1200344,Acre
2019,31.61773216353082,Manoel Urbano,1200344,Acre
2020,54.00287142445097,Manoel Urbano,1200344,Acre
2021,41.54463690966094,Manoel Urbano,1200344,Acre
2022,88.29890639697932,Manoel Urbano,1200344,Acre
2023,30.428432666364138,Manoel Urbano,1200344,Acre
2024,24.449994950246158,Manoel Urbano,1200344,Acre
2007,181.82718164705346,Marechal Thaumaturgo,1200351,Acre
2008,11.838664324300975,Marechal Thaumaturgo,1200351,Acre
2009,0.06074754333942174,Marechal Thaumaturgo,1200351,Acre
2010,21.99012199430506,Marechal Thaumaturgo,1200351,Acre
2011,10.887392540960544,Marechal Thaumaturgo,1200351,Acre
2012,3.6729682355930606,Marechal Thaumaturgo,1200351,Acre
2013,2.1621689517645795,Marechal Thaumaturgo,1200351,Acre
2014,8.861123098034152,Marechal Thaumaturgo,1200351,Acre
2015,0.4654908338505477,Marechal Thaumaturgo,1200351,Acre
2016,2.5411791032316255,Marechal Thaumaturgo,1200351,Acre
2017,2.5862837753824044,Marechal Thaumaturgo,1200351,Acre
2018,4.072530774603354,Marechal Thaumaturgo,1200351,Acre
2019,13.620834880246068,Marechal Thaumaturgo,1200351,Acre
2020,28.64752391527406,Marechal Thaumaturgo,1200351,Acre
2021,6.33439727514536,Marechal Thaumaturgo,1200351,Acre
2022,9.783353746729594,Marechal Thaumaturgo,1200351,Acre
2023,10.83301113925069,Marechal Thaumaturgo,1200351,Acre
2024,9.07709771704719,Marechal Thaumaturgo,1200351,Acre
2007,367.12075510438166,Mâncio Lima,1200336,Acre
2008,4.308356667790487,Mâncio Lima,1200336,Acre
2009,1.299979850329486,Mâncio Lima,1200336,Acre
2010,4.652817836262391,Mâncio Lima,1200336,Acre
2011,11.612174723132924,Mâncio Lima,1200336,Acre
2012,3.2904529645485288,Mâncio Lima,1200336,Acre
2013,2.5977189528100912,Mâncio Lima,1200336,Acre
2014,2.968915684661208,Mâncio Lima,1200336,Acre
2015,2.2871575016138266,Mâncio Lima,1200336,Acre
